Designator,Mid X,Mid Y,Rotation,Layer
JP15,379.095,-78.105,0.0,top
JP16,176.53,-168.695027,0.0,top
JP17,32.385,-73.66,0.0,top
JP18,388.62,-116.84,90.0,top
JP2,220.190344,-136.525,0.0,top
JP20,96.52,-59.69,180.0,top
JP21,45.72,-188.914308,0.0,top
JP22,45.72,-184.15,0.0,top
JP23,45.823296,-174.640514,0.0,top
JP24,176.53,-162.552814,0.0,top
JP25,45.72,-179.705,0.0,top
JP26,140.97,-204.47,0.0,top
JP27,140.97,-194.31,0.0,top
JP28,150.966843,-194.31,0.0,top
JP29,140.97,-199.39,0.0,top
JP3,225.425,-136.525,0.0,top
JP30,139.7,-127.0,270.0,top
JP31,157.699369,-88.059269,0.0,top
JP4,285.115,-139.7,0.0,top
JP5,228.6,-157.48,90.0,top
JP6,374.015,-88.9,180.0,top
JP7,259.08,-182.88,0.0,top
JP8,182.245,-149.225,0.0,top
JS1,377.19,-135.89,0.0,top
L2,374.015,-205.105,180.0,top
L4,391.16,-199.39,270.0,top
LED1,344.805,-212.725,0.0,top
P1,322.58,-85.09,90.0,top
P2,69.882208,-139.7,90.0,top
P3,59.69,-59.69,180.0,top
P5,37.649712,-106.68,270.0,top
P6,131.445,-62.23,180.0,top
P7,131.445,-67.31,180.0,top
P8,77.47,-139.7,90.0,top
Q1,176.142267,-207.88926,0.0,top
Q2,257.982105,-157.453622,0.0,top
Q3,225.868801,-86.36,270.0,top
Q4,386.08,-55.245,270.0,top
QG1,386.08,-142.24,270.0,top
QG2,381.0,-100.33,270.0,top
QG3,66.04,-181.61,270.0,top
R1,211.268152,-68.5871,90.0,top
R10,259.715,-178.435,0.0,top
R101,114.935,-57.15,0.0,top
R103,66.694306,-205.74,270.0,top
R11,259.715,-175.26,0.0,top
R12,377.19,-153.67,0.0,top
R13,252.73,-76.452106,0.0,top
R14,252.73,-68.58,0.0,top
R15,252.73,-72.197301,0.0,top
R16,278.13,-71.12,0.0,top
R17,205.295796,-195.657942,0.0,top
R18,232.41,-72.39,0.0,top
R19,232.41,-69.215,0.0,top
R2,208.28,-68.58,90.0,top
R20,232.41,-66.04,0.0,top
R22,338.455,-212.725,180.0,top
R24,370.205,-179.07,90.0,top
R25,288.925,-139.7,270.0,top
R26,205.295796,-199.467942,0.0,top
R27,356.87,-130.81,0.0,top
R28,234.95,-154.94,0.0,top
R29,295.91,-189.865,0.0,top
R30,377.19,-146.05,0.0,top
R31,234.95,-160.02,0.0,top
R32,230.991365,-76.2,0.0,top
R33,207.01,-177.8,0.0,top
R34,182.585437,-143.731989,0.0,top
R35,40.64,-130.81,90.0,top
R4,213.36,-107.95,180.0,top
R48,381.0,-52.705,270.0,top
R49,360.045,-212.725,0.0,top
R5,377.19,-149.86,0.0,top
R50,360.045,-208.915,0.0,top
R52,218.44,-157.48,90.0,top
R53,200.66,-187.96,270.0,top
R54,209.55,-156.21,270.0,top
R55,209.55,-146.05,270.0,top
R56,196.85,-157.48,90.0,top
R57,203.791612,-187.96,270.0,top
R58,201.93,-156.21,270.0,top
R59,201.93,-146.05,270.0,top
R6,278.13,-73.66,0.0,top
R60,222.25,-157.48,90.0,top
R61,207.01,-187.96,270.0,top
R62,213.36,-156.21,270.0,top
R63,213.36,-146.05,270.0,top
R64,193.04,-157.48,90.0,top
R65,210.185,-187.96,270.0,top
R66,205.74,-156.21,270.0,top
R67,205.74,-146.05,270.0,top
R68,269.24,-72.39,270.0,top
R69,265.43,-72.39,270.0,top
R7,247.65,-85.09,0.0,top
R73,142.24,-61.595,90.0,top
R74,145.325872,-61.595,270.0,top
R75,148.59,-61.595,90.0,top
R76,153.67,-199.39,0.0,top
R77,125.73,-203.198073,270.0,top
R78,129.46028,-203.2,90.0,top
R79,153.67,-203.2,0.0,top
R8,241.3,-85.09,0.0,top
R80,171.197309,-215.9,180.0,top
R81,132.872741,-203.2,270.0,top
R86,114.935,-64.77,0.0,top
R87,114.935,-60.96,0.0,top
R9,307.34,-208.242904,0.0,top
RG0,374.015,-208.915,180.0,top
RN1,85.09,-123.19,270.0,top
RN2,370.84,-119.38,90.0,top
RN3,85.09,-70.485,0.0,top
RN4,85.09,-66.675,0.0,top
RN5,50.165,-71.12,180.0,top
RN6,50.165,-67.31,180.0,top
RN8,172.787652,-101.6,270.0,top
RS0,374.015,-212.725,0.0,top
S1,284.868155,-45.552751,180.0,top
S2,21.391568,-150.42827,270.0,top
SJ1,377.19,-140.97,180.0,top
SN1,247.015,-152.34,0.0,top
SW1,403.86,-83.285,180.0,top
T10,129.54,-192.926928,0.0,top
T6,144.145,-69.5325,0.0,top
T7,152.303339,-69.5325,0.0,top
T8,168.7703,-67.31,270.0,top
U$1,283.21,-163.195,90.0,top
U$10,259.284095,-68.58,180.0,top
U$11,259.439082,-76.2,180.0,top
U$12,247.65,-140.97,0.0,top
